,Proporciones Generales,Seguro,No Seguro
0,Aconchi,98.6413043478261,1.358695652173913
1,Agua Prieta,97.69397721106891,2.3060227889310907
2,Álamos,91.45299145299145,8.547008547008547
3,Altar,97.8386167146974,2.161383285302594
4,Arivechi,99.72527472527473,0.27472527472527475
5,Arizpe,99.64454976303317,0.35545023696682465
6,Atil,99.42196531791907,0.5780346820809248
7,Bacadéhuachi,98.87005649717514,1.1299435028248588
8,Bacanora,98.7012987012987,1.2987012987012987
9,Bacerac,98.52941176470588,1.4705882352941175
10,Bacoachi,98.9406779661017,1.059322033898305
11,Bácum,96.3984674329502,3.601532567049808
12,Banámichi,99.58762886597938,0.4123711340206186
13,Baviácora,99.20634920634922,0.7936507936507936
14,Bavispe,98.62385321100918,1.3761467889908259
15,Benjamín Hill,97.46716697936209,2.5328330206378986
16,Caborca,97.50193149626577,2.498068503734226
17,Cajeme,96.71916010498688,3.2808398950131235
18,Cananea,99.69465648854961,0.3053435114503817
19,Carbó,98.70229007633587,1.297709923664122
20,La Colorada,97.19495091164096,2.805049088359046
21,Cucurpe,95.22292993630573,4.777070063694268
22,Cumpas,99.2671009771987,0.7328990228013029
23,Divisaderos,98.7603305785124,1.2396694214876034
24,Empalme,97.07401032702238,2.9259896729776247
25,Etchojoa,94.97041420118343,5.029585798816568
26,Fronteras,98.94875164257556,1.0512483574244416
27,Granados,99.69418960244649,0.3058103975535168
28,Guaymas,96.81658337960393,3.183416620396076
29,Hermosillo,95.38259400613151,4.617405993868486
30,Huachinera,98.5,1.5
31,Huásabas,100.0,0.0
32,Huatabampo,93.4934934934935,6.506506506506507
33,Huépac,100.0,0.0
34,Imuris,97.81267526640494,2.1873247335950645
35,Magdalena,99.36708860759494,0.6329113924050633
36,Mazatán,98.52216748768473,1.477832512315271
37,Moctezuma,99.90645463049579,0.09354536950420954
38,Naco,98.85864793678665,1.141352063213345
39,Nácori Chico,98.83720930232558,1.1627906976744187
40,Nacozari de García,98.66666666666667,1.3333333333333335
41,Navojoa,94.9041095890411,5.095890410958904
42,Nogales,86.42195295794725,13.578047042052743
43,Ónavas,96.8,3.2
44,Opodepe,94.96402877697841,5.0359712230215825
45,Oquitoa,98.23008849557522,1.7699115044247788
46,Pitiquito,97.42804654011023,2.5719534598897735
47,Puerto Peñasco,98.17984243412117,1.8201575658788371
48,Quiriego,84.03263403263404,15.967365967365968
49,Rayón,98.4126984126984,1.5873015873015872
50,Rosario,96.30963096309631,3.6903690369036903
51,Sahuaripa,97.38837405223252,2.611625947767481
52,San Felipe de Jesús,98.1981981981982,1.8018018018018018
53,San Javier,84.61538461538461,15.384615384615385
54,San Luis Río Colorado,96.25891769618931,3.741082303810684
55,San Miguel de Horcasitas,97.78067885117493,2.219321148825065
56,San Pedro de la Cueva,99.81515711645102,0.18484288354898337
57,Santa Ana,98.81057268722468,1.1894273127753305
58,Santa Cruz,99.77728285077951,0.22271714922048996
59,Sáric,97.94050343249427,2.059496567505721
60,Soyopa,98.78345498783455,1.2165450121654502
61,Suaqui Grande,98.80597014925372,1.1940298507462688
62,Tepache,99.75247524752476,0.24752475247524752
63,Trincheras,93.92712550607287,6.0728744939271255
64,Tubutama,95.51820728291317,4.481792717086835
65,Ures,99.34328358208955,0.6567164179104478
66,Villa Hidalgo,99.40711462450594,0.592885375494071
67,Villa Pesqueira,96.97802197802197,3.021978021978022
68,Yécora,95.06472491909385,4.935275080906148
69,General Plutarco Elías Calles,0.0,0.0
70,Benito Juárez,99.26769731489016,0.7323026851098454
71,San Ignacio Río Muerto,92.98928919182083,7.010710808179163
