,Proporciones Generales,Sanitario Propio,No Sanitario Propio
0,Aconchi,97.69021739130434,2.309782608695652
1,Agua Prieta,97.36556219445953,2.6344378055404674
2,Álamos,48.52638793694311,51.47361206305688
3,Altar,95.2449567723343,4.755043227665706
4,Arivechi,94.78021978021978,5.21978021978022
5,Arizpe,98.45605700712589,1.5439429928741093
6,Atil,98.83720930232558,1.1627906976744187
7,Bacadéhuachi,94.0677966101695,5.932203389830509
8,Bacanora,94.37229437229438,5.627705627705628
9,Bacerac,85.67901234567901,14.320987654320987
10,Bacoachi,98.08510638297872,1.9148936170212765
11,Bácum,75.31621310847068,24.683786891529323
12,Banámichi,99.38144329896907,0.6185567010309279
13,Baviácora,98.21428571428571,1.7857142857142856
14,Bavispe,95.64220183486239,4.3577981651376145
15,Benjamín Hill,95.21575984990619,4.784240150093809
16,Caborca,85.0657725045138,14.934227495486201
17,Cajeme,92.88532351394004,7.114676486059969
18,Cananea,99.12113106610623,0.8788689338937715
19,Carbó,93.3587786259542,6.641221374045801
20,La Colorada,86.51685393258427,13.48314606741573
21,Cucurpe,92.35668789808918,7.643312101910828
22,Cumpas,98.20700896495518,1.7929910350448246
23,Divisaderos,96.69421487603306,3.3057851239669422
24,Empalme,85.64043653072947,14.359563469270533
25,Etchojoa,47.62803234501348,52.37196765498652
26,Fronteras,95.72649572649573,4.273504273504273
27,Granados,100.0,0.0
28,Guaymas,86.96778970751573,13.032210292484264
29,Hermosillo,93.72612860810219,6.273871391897814
30,Huachinera,90.75,9.25
31,Huásabas,99.27272727272727,0.7272727272727273
32,Huatabampo,60.240360540811224,39.75963945918878
33,Huépac,100.0,0.0
34,Imuris,94.95232753785754,5.047672462142456
35,Magdalena,97.96061884669479,2.0393811533052038
36,Mazatán,95.56650246305419,4.433497536945813
37,Moctezuma,99.53183520599251,0.46816479400749067
38,Naco,97.36379613356766,2.6362038664323375
39,Nácori Chico,76.53910149750416,23.46089850249584
40,Nacozari de García,97.72727272727273,2.272727272727273
41,Navojoa,72.44972577696527,27.550274223034737
42,Nogales,97.66405135520685,2.335948644793153
43,Ónavas,93.60000000000001,6.4
44,Opodepe,84.29256594724221,15.707434052757794
45,Oquitoa,98.23008849557522,1.7699115044247788
46,Pitiquito,91.88191881918819,8.118081180811808
47,Puerto Peñasco,96.48692810457517,3.5130718954248366
48,Quiriego,64.45221445221445,35.54778554778555
49,Rayón,92.43027888446214,7.569721115537849
50,Rosario,77.04770477047704,22.95229522952295
51,Sahuaripa,92.67059814658803,7.329401853411962
52,San Felipe de Jesús,98.1981981981982,1.8018018018018018
53,San Javier,94.0828402366864,5.9171597633136095
54,San Luis Río Colorado,84.65294733170562,15.347052668294383
55,San Miguel de Horcasitas,83.43118069145467,16.568819308545336
56,San Pedro de la Cueva,92.60628465804066,7.393715341959335
57,Santa Ana,95.37037037037037,4.62962962962963
58,Santa Cruz,97.32739420935413,2.6726057906458798
59,Sáric,94.71264367816093,5.287356321839081
60,Soyopa,89.05109489051095,10.948905109489052
61,Suaqui Grande,98.50746268656717,1.4925373134328357
62,Tepache,97.52475247524752,2.4752475247524752
63,Trincheras,81.9838056680162,18.016194331983808
64,Tubutama,89.35574229691878,10.644257703081232
65,Ures,95.99761051373955,4.002389486260454
66,Villa Hidalgo,93.25396825396825,6.746031746031746
67,Villa Pesqueira,93.95604395604396,6.043956043956044
68,Yécora,63.63636363636363,36.36363636363637
69,General Plutarco Elías Calles,0.0,0.0
70,Benito Juárez,76.89486552567237,23.10513447432763
71,San Ignacio Río Muerto,57.59493670886076,42.405063291139236
