,Proporciones Generales,Servicio Publico,Otro
0,Aconchi,96.68508287292818,1.5151515151515151
1,Agua Prieta,98.77437325905292,1.890464275785377
2,Álamos,71.78718621206444,47.883102285500186
3,Altar,97.11324944485567,4.491899852724595
4,Arivechi,96.96132596685084,4.958677685950414
5,Arizpe,91.89511323003575,1.430274135876043
6,Atil,97.07602339181285,1.1695906432748537
7,Bacadéhuachi,99.71428571428571,4.857142857142857
8,Bacanora,93.42105263157895,4.385964912280701
9,Bacerac,87.34177215189874,13.283208020050125
10,Bacoachi,82.07343412526998,1.0752688172043012
11,Bácum,97.40725967291584,22.186878727634195
12,Banámichi,97.07112970711297,0.4140786749482402
13,Baviácora,81.66332665330661,1.5
14,Bavispe,28.904428904428904,3.255813953488372
15,Benjamín Hill,98.07135969141754,3.753609239653513
16,Caborca,82.55659121171772,13.710958178930651
17,Cajeme,94.62498286027697,4.976883328800652
18,Cananea,96.19815668202764,0.6515906477577615
19,Carbó,90.40989945862336,5.645784996133024
20,La Colorada,73.26589595375722,11.127167630057803
21,Cucurpe,67.78523489932886,5.351170568561873
22,Cumpas,98.92561983471074,1.6433853738701727
23,Divisaderos,98.73949579831933,2.510460251046025
24,Empalme,92.65536723163842,12.692307692307692
25,Etchojoa,98.57590430076901,50.042577348850415
26,Fronteras,97.33688415446072,3.7873754152823924
27,Granados,100.0,0.0
28,Guaymas,95.17307692307693,11.204588910133843
29,Hermosillo,96.04103643298699,4.339263441213156
30,Huachinera,95.93908629441624,8.629441624365482
31,Huásabas,99.27007299270073,0.7272727272727273
32,Huatabampo,92.85330467490597,36.43182427002411
33,Huépac,98.99665551839465,0.0
34,Imuris,94.77011494252874,4.3577981651376145
35,Magdalena,97.37309194178204,1.7338995046001413
36,Mazatán,95.25,3.0
37,Moctezuma,99.15254237288136,0.37488284910965325
38,Naco,95.81105169340464,2.3090586145648313
39,Nácori Chico,92.77310924369748,22.689075630252102
40,Nacozari de García,97.42163801820021,1.4529058116232465
41,Navojoa,96.67761251690168,24.287365177195685
42,Nogales,88.80844021514274,0.8046214153084381
43,Ónavas,75.20661157024794,4.132231404958678
44,Opodepe,73.10606060606061,13.131313131313133
45,Oquitoa,96.3963963963964,0.0
46,Pitiquito,81.66877370417194,6.182965299684542
47,Puerto Peñasco,99.3346271139451,2.6352288488210815
48,Quiriego,66.06397774687065,25.381414701803052
49,Rayón,96.76767676767678,6.275303643724696
50,Rosario,67.10280373831776,20.5607476635514
51,Sahuaripa,88.27106863596872,5.709342560553633
52,San Felipe de Jesús,100.0,0.0
53,San Javier,43.66197183098591,3.4965034965034967
54,San Luis Río Colorado,91.97822141560799,13.048205871692641
55,San Miguel de Horcasitas,84.96993987975952,15.086782376502002
56,San Pedro de la Cueva,90.9090909090909,7.222222222222221
57,Santa Ana,95.38943598925694,3.8375725122713074
58,Santa Cruz,75.6152125279642,2.455357142857143
59,Sáric,80.28169014084507,4.929577464788732
60,Soyopa,92.11822660098522,10.098522167487685
61,Suaqui Grande,94.86404833836858,0.906344410876133
62,Tepache,96.52605459057072,2.2332506203473943
63,Trincheras,67.02586206896551,14.224137931034484
64,Tubutama,91.71597633136095,8.211143695014663
65,Ures,92.95180722891565,3.668069753457607
66,Villa Hidalgo,99.800796812749,6.187624750499002
67,Villa Pesqueira,93.48441926345609,3.6827195467422094
68,Yécora,92.38665526090676,34.0734415029889
69,General Plutarco Elías Calles,,
70,Benito Juárez,98.76695437731196,22.61904761904762
71,San Ignacio Río Muerto,92.2875131164743,39.3717277486911
