,Proporciones por Grupos,<12,>64,Indigena
0,Aconchi,0.6802721088435374,0.0,0.0
1,Agua Prieta,0.054392167527875984,0.0,0.0
2,Álamos,0.10312822275696115,0.034376074252320386,0.10312822275696115
3,Altar,0.0,0.0,0.0
4,Arivechi,0.0,0.27472527472527475,0.0
5,Arizpe,0.0,0.11890606420927466,0.11890606420927466
6,Atil,0.0,0.0,0.0
7,Bacadéhuachi,0.0,0.0,0.0
8,Bacanora,0.0,0.0,0.0
9,Bacerac,0.0,0.0,0.0
10,Bacoachi,0.0,0.0,0.0
11,Bácum,0.1536688436419516,0.1536688436419516,0.23050326546292738
12,Banámichi,0.0,0.0,0.0
13,Baviácora,0.19860973187686196,0.09930486593843098,0.0
14,Bavispe,0.0,0.0,0.0
15,Benjamín Hill,0.0,0.0,0.0
16,Caborca,0.0,0.0,0.0
17,Cajeme,0.22418567849136228,0.13187392852433075,0.23737307134379534
18,Cananea,1.5308075009567548,0.8802143130501339,0.4592422502870264
19,Carbó,0.2291825821237586,0.07639419404125286,0.0
20,La Colorada,1.2658227848101267,0.8438818565400843,0.14064697609001406
21,Cucurpe,0.3194888178913738,0.9584664536741214,0.6389776357827476
22,Cumpas,0.0,0.0,0.0
23,Divisaderos,0.0,0.0,0.0
24,Empalme,0.028760425654299683,0.0,0.028760425654299683
25,Etchojoa,0.027063599458728015,0.027063599458728015,0.05412719891745603
26,Fronteras,0.0,0.06605019815059446,0.0
27,Granados,0.0,0.0,0.0
28,Guaymas,0.0,0.01852881230313137,0.03705762460626274
29,Hermosillo,0.02509410288582183,0.012547051442910915,0.031367628607277286
30,Huachinera,0.25,0.0,0.0
31,Huásabas,0.0,0.7272727272727273,0.0
32,Huatabampo,0.20095453403667418,0.12559658377292138,0.25119316754584275
33,Huépac,0.0,0.0,0.0
34,Imuris,0.0,0.0,0.0
35,Magdalena,0.0,0.0,0.0
36,Mazatán,0.0,0.0,0.0
37,Moctezuma,0.0,0.0,0.0
38,Naco,0.0881057268722467,0.0,0.0
39,Nácori Chico,1.001669449081803,0.5008347245409015,0.333889816360601
40,Nacozari de García,0.1488833746898263,0.09925558312655086,0.04962779156327543
41,Navojoa,0.018311664530305805,0.0,0.03662332906061161
42,Nogales,0.05355230274901821,0.01785076758300607,0.03570153516601214
43,Ónavas,0.8,1.6,0.8
44,Opodepe,0.0,0.0,0.0
45,Oquitoa,0.0,0.8928571428571428,0.0
46,Pitiquito,0.0,0.06188118811881188,0.0
47,Puerto Peñasco,0.0,0.0,0.0
48,Quiriego,0.0,0.11668611435239205,0.3500583430571762
49,Rayón,0.0,0.0,0.0
50,Rosario,0.27100271002710025,0.36133694670280037,0.09033423667570009
51,Sahuaripa,0.16891891891891891,0.16891891891891891,0.0
52,San Felipe de Jesús,0.0,0.0,0.0
53,San Javier,0.0,0.0,0.0
54,San Luis Río Colorado,0.24441340782122906,0.12220670391061453,0.12220670391061453
55,San Miguel de Horcasitas,0.19582245430809397,0.0,0.19582245430809397
56,San Pedro de la Cueva,4.823747680890538,5.380333951762523,0.7421150278293136
57,Santa Ana,0.0,0.0,0.0
58,Santa Cruz,0.0,0.0,0.0
59,Sáric,0.0,0.0,0.0
60,Soyopa,1.2165450121654502,1.4598540145985401,0.0
61,Suaqui Grande,0.0,0.0,0.0
62,Tepache,0.0,0.0,0.0
63,Trincheras,0.0,0.0,0.0
64,Tubutama,0.8403361344537815,0.5602240896358543,0.8403361344537815
65,Ures,0.05980861244019139,0.0,0.05980861244019139
66,Villa Hidalgo,0.0,0.199203187250996,0.398406374501992
67,Villa Pesqueira,0.0,0.5571030640668524,0.5571030640668524
68,Yécora,1.380991064175467,1.0560519902518277,0.0
69,General Plutarco Elías Calles,0.0,0.0,0.0
70,Benito Juárez,0.0,0.0,0.0
71,San Ignacio Río Muerto,0.14641288433382138,0.19521717911176184,0.2440214738897023
