,Proporciones por Grupos,<12,>64,Indigena
0,Aconchi,39.94565217391305,28.940217391304344,9.103260869565217
1,Agua Prieta,50.0,12.38457360130364,14.693101575230852
2,Álamos,22.960932145305005,14.427690198766276,28.54694996572995
3,Altar,54.538904899135446,18.659942363112393,5.979827089337176
4,Arivechi,31.043956043956044,34.61538461538461,11.813186813186812
5,Arizpe,35.15439429928741,33.3729216152019,7.1258907363420425
6,Atil,36.04651162790697,45.348837209302324,0.5813953488372093
7,Bacadéhuachi,33.05084745762712,32.7683615819209,0.5649717514124294
8,Bacanora,32.03463203463203,39.82683982683983,0.4329004329004329
9,Bacerac,32.098765432098766,24.19753086419753,2.9629629629629632
10,Bacoachi,28.510638297872344,34.8936170212766,7.446808510638298
11,Bácum,35.76082790341127,20.735914143349945,29.781525488692985
12,Banámichi,35.25773195876289,33.608247422680414,2.4742268041237114
13,Baviácora,35.41666666666667,32.73809523809524,16.071428571428573
14,Bavispe,42.201834862385326,29.128440366972473,0.0
15,Benjamín Hill,38.27392120075047,27.110694183864915,18.94934333958724
16,Caborca,42.094402888831574,12.948155790559712,13.721949961310292
17,Cajeme,42.859021567596,15.675960021041558,16.346659652814306
18,Cananea,48.75811998471532,19.487963316774934,9.514711501719527
19,Carbó,47.17557251908397,22.748091603053435,20.229007633587788
20,La Colorada,27.808988764044944,23.735955056179776,10.112359550561797
21,Cucurpe,35.6687898089172,26.751592356687897,35.6687898089172
22,Cumpas,39.20130399348003,29.013854930725348,10.513447432762836
23,Divisaderos,31.818181818181817,36.36363636363637,6.198347107438017
24,Empalme,38.914417001723145,19.67260195290063,11.200459506031017
25,Etchojoa,21.644204851752022,13.854447439353098,38.14016172506739
26,Fronteras,51.01906640368179,13.740959894806048,12.097304404996713
27,Granados,40.74074074074074,33.0246913580247,12.654320987654321
28,Guaymas,39.80007404664939,15.012958163643095,15.068493150684931
29,Hermosillo,44.07989480934193,12.616617619435228,17.31889048901133
30,Huachinera,34.25,25.5,36.25
31,Huásabas,32.0,34.909090909090914,3.6363636363636362
32,Huatabampo,25.913870806209317,17.85177766649975,33.700550826239365
33,Huépac,29.76588628762542,38.46153846153847,2.0066889632107023
34,Imuris,46.04598990465508,18.788558609085808,16.76948962422883
35,Magdalena,42.721518987341774,19.72573839662447,14.064697609001406
36,Mazatán,26.84729064039409,34.48275862068966,4.433497536945813
37,Moctezuma,41.47940074906367,21.161048689138575,7.9588014981273405
38,Naco,52.63620386643234,17.398945518453427,14.323374340949032
39,Nácori Chico,29.45091514143095,26.955074875207984,5.990016638935108
40,Nacozari de García,51.82806324110671,14.229249011857709,13.290513833992096
41,Navojoa,33.656307129798904,17.422303473491773,25.758683729433272
42,Nogales,54.154778887303856,7.845934379457916,18.116975748930102
43,Ónavas,39.2,30.4,40.8
44,Opodepe,31.294964028776977,28.53717026378897,27.697841726618705
45,Oquitoa,36.283185840707965,39.823008849557525,10.619469026548673
46,Pitiquito,41.69741697416974,19.06519065190652,12.792127921279212
47,Puerto Peñasco,47.766884531590414,12.717864923747277,16.802832244008712
48,Quiriego,22.61072261072261,24.358974358974358,58.04195804195804
49,Rayón,28.286852589641438,39.6414342629482,5.9760956175298805
50,Rosario,33.033303330333034,26.37263726372637,6.9306930693069315
51,Sahuaripa,34.6251053074979,28.64363942712721,4.633529907329402
52,San Felipe de Jesús,35.13513513513514,39.63963963963964,2.7027027027027026
53,San Javier,44.97041420118343,18.93491124260355,19.526627218934912
54,San Luis Río Colorado,40.320892919427976,14.004185559818627,12.190442971747471
55,San Miguel de Horcasitas,42.857142857142854,10.828440965427266,40.769732550554465
56,San Pedro de la Cueva,24.58410351201479,32.90203327171904,8.502772643253234
57,Santa Ana,45.10582010582011,21.164021164021165,10.09700176366843
58,Santa Cruz,48.775055679287306,20.93541202672606,13.808463251670378
59,Sáric,42.98850574712644,26.436781609195403,22.298850574712645
60,Soyopa,31.143552311435524,31.386861313868614,3.40632603406326
61,Suaqui Grande,42.08955223880597,32.537313432835816,21.19402985074627
62,Tepache,29.207920792079207,38.11881188118812,19.801980198019802
63,Trincheras,33.603238866396765,24.696356275303643,6.882591093117409
64,Tubutama,36.69467787114846,32.773109243697476,27.170868347338935
65,Ures,31.12305854241338,32.73596176821984,11.887694145758662
66,Villa Hidalgo,32.142857142857146,27.380952380952383,6.944444444444445
67,Villa Pesqueira,26.64835164835165,35.989010989010985,6.043956043956044
68,Yécora,29.05844155844156,16.233766233766232,8.116883116883116
69,General Plutarco Elías Calles,0.0,0.0,0.0
70,Benito Juárez,34.31132844335779,21.434392828035858,48.45150774246129
71,San Ignacio Río Muerto,27.945472249269717,14.703018500486856,31.158714703018504
