,Proporciones por Grupos,<12,>64,Indigena
0,Aconchi,0.38167938931297707,0.5089058524173028,0.2544529262086514
1,Agua Prieta,0.436442989634479,0.3818876159301691,0.4909983633387889
2,Álamos,2.313284864507601,3.040317250495704,5.948446794448117
3,Altar,0.8356545961002786,0.09285051067780872,0.18570102135561745
4,Arivechi,0.0,0.2570694087403599,0.2570694087403599
5,Arizpe,0.20898641588296762,0.41797283176593525,0.0
6,Atil,0.0,0.0,0.0
7,Bacadéhuachi,0.0,0.0,0.2890173410404624
8,Bacanora,0.0,0.398406374501992,0.0
9,Bacerac,0.0,0.2702702702702703,0.0
10,Bacoachi,0.0,0.19960079840319359,0.0
11,Bácum,0.4195804195804196,0.48951048951048953,0.9790209790209791
12,Banámichi,0.0,0.0,0.0
13,Baviácora,0.0,0.0968054211035818,0.0
14,Bavispe,0.0,0.0,0.0
15,Benjamín Hill,0.8053691275167786,0.2684563758389262,0.0
16,Caborca,0.29021558872305137,0.20729684908789386,0.33167495854063017
17,Cajeme,0.2271694684234439,0.2120248371952143,0.2271694684234439
18,Cananea,0.0,0.0526592943654555,0.0
19,Carbó,0.0,0.24360535931790497,0.12180267965895249
20,La Colorada,0.0,0.29895366218236175,0.14947683109118087
21,Cucurpe,0.0,0.6369426751592357,0.0
22,Cumpas,0.24271844660194172,0.0,0.0
23,Divisaderos,0.0,0.0,0.0
24,Empalme,0.33444816053511706,0.16722408026755853,0.055741360089186176
25,Etchojoa,1.048767697954903,0.5768222338751966,2.3597273203985316
26,Fronteras,0.4251700680272109,0.08503401360544217,0.08503401360544217
27,Granados,0.0,0.0,0.0
28,Guaymas,0.9589566551591868,0.42194092827004215,1.5726889144610665
29,Hermosillo,0.1118747003356241,0.1118747003356241,0.1438389004315167
30,Huachinera,0.0,0.0,0.0
31,Huásabas,0.0,0.0,0.0
32,Huatabampo,0.5170185264971995,0.5601034037052994,1.5941404566996984
33,Huépac,0.0,0.0,0.0
34,Imuris,0.35682426404995543,0.08920606601248886,0.08920606601248886
35,Magdalena,0.3026634382566586,0.06053268765133172,0.06053268765133172
36,Mazatán,0.25252525252525254,1.2626262626262625,0.5050505050505051
37,Moctezuma,0.0,0.0,0.0
38,Naco,0.31088082901554404,0.10362694300518134,0.10362694300518134
39,Nácori Chico,0.0,0.2,0.0
40,Nacozari de García,0.38109756097560976,0.22865853658536583,0.1524390243902439
41,Navojoa,0.6727344677483181,0.4352987732489117,1.2663237039968342
42,Nogales,4.130009775171065,1.6129032258064515,0.8064516129032258
43,Ónavas,0.0,0.0,0.0
44,Opodepe,0.37735849056603776,0.5031446540880503,0.628930817610063
45,Oquitoa,0.0,0.0,0.0
46,Pitiquito,1.3320647002854424,0.47573739295908657,2.093244529019981
47,Puerto Peñasco,0.07137758743754462,0.4282655246252677,0.35688793718772305
48,Quiriego,3.7796976241900646,3.023758099352052,5.183585313174946
49,Rayón,0.18587360594795538,0.18587360594795538,0.0
50,Rosario,0.24183796856106407,0.6045949214026602,0.6045949214026602
51,Sahuaripa,0.0,0.33076074972436603,0.2205071664829107
52,San Felipe de Jesús,0.0,0.0,0.0
53,San Javier,0.6535947712418301,0.0,0.0
54,San Luis Río Colorado,0.2877106452938759,0.04110152075626798,0.12330456226880394
55,San Miguel de Horcasitas,0.0,0.0,0.0
56,San Pedro de la Cueva,0.18315018315018314,0.3663003663003663,0.3663003663003663
57,Santa Ana,0.07692307692307693,0.15384615384615385,0.07692307692307693
58,Santa Cruz,0.0,0.5639097744360901,0.5639097744360901
59,Sáric,0.482315112540193,0.0,0.6430868167202572
60,Soyopa,1.1135857461024499,1.3363028953229399,0.4454342984409799
61,Suaqui Grande,0.0,0.28735632183908044,0.0
62,Tepache,0.0,0.0,0.0
63,Trincheras,0.21141649048625794,0.6342494714587738,0.0
64,Tubutama,0.8316008316008316,0.0,0.0
65,Ures,0.0,0.1813236627379873,0.0
66,Villa Hidalgo,0.20242914979757085,0.4048582995951417,0.0
67,Villa Pesqueira,0.0,1.084010840108401,0.0
68,Yécora,3.476245654692932,1.2746234067207416,4.866743916570105
69,General Plutarco Elías Calles,0.353045013239188,0.353045013239188,0.353045013239188
70,Benito Juárez,0.5890052356020943,0.2617801047120419,1.243455497382199
71,San Ignacio Río Muerto,3.394833948339483,2.066420664206642,4.575645756457565
