,Proporciones por Grupos,<12,>64,Indigena
0,Aconchi,33.842239185750635,31.679389312977097,5.597964376590331
1,Agua Prieta,43.15330060010911,16.53027823240589,14.620840152755047
2,Álamos,39.12756113681428,28.816920026437543,51.61929940515532
3,Altar,46.796657381615596,19.03435468895079,12.070566388115136
4,Arivechi,32.64781491002571,34.70437017994858,27.506426735218508
5,Arizpe,29.36259143155695,37.61755485893417,4.075235109717868
6,Atil,30.36649214659686,41.8848167539267,1.5706806282722512
7,Bacadéhuachi,27.45664739884393,38.72832369942196,3.7572254335260116
8,Bacanora,29.880478087649404,45.41832669322709,19.12350597609562
9,Bacerac,38.91891891891892,30.0,15.945945945945947
10,Bacoachi,28.74251497005988,34.13173652694611,2.3952095808383236
11,Bácum,40.41958041958042,29.790209790209794,25.594405594405593
12,Banámichi,36.48393194706994,33.2703213610586,0.3780718336483932
13,Baviácora,31.655372700871247,37.36689254598258,0.48402710551790895
14,Bavispe,36.434108527131784,33.0749354005168,10.335917312661499
15,Benjamín Hill,38.92617449664429,30.201342281879196,8.322147651006711
16,Caborca,44.15422885572139,17.744610281923716,13.88888888888889
17,Cajeme,37.922156595486896,21.68711191882478,11.964258670301378
18,Cananea,45.86624539231175,19.06266456029489,8.109531332280147
19,Carbó,43.605359317905,22.77710109622412,8.28258221680877
20,La Colorada,27.50373692077728,31.2406576980568,7.025411061285501
21,Cucurpe,26.751592356687897,28.980891719745223,0.3184713375796179
22,Cumpas,35.55825242718447,32.038834951456316,0.9708737864077669
23,Divisaderos,34.45378151260504,39.49579831932773,1.680672268907563
24,Empalme,42.25195094760312,24.637681159420293,10.758082497212932
25,Etchojoa,45.516518091242794,28.159412690089148,88.30624016780283
26,Fronteras,46.42857142857143,19.982993197278912,7.908163265306123
27,Granados,31.470588235294116,34.705882352941174,1.4705882352941175
28,Guaymas,39.16378979670119,22.094361334867664,23.935558112773304
29,Hermosillo,43.3914016301742,19.242448457727345,16.701294550103885
30,Huachinera,34.27835051546392,32.21649484536083,16.49484536082474
31,Huásabas,27.85234899328859,37.919463087248324,19.798657718120804
32,Huatabampo,40.06893580353296,28.13442481688927,68.76346402412753
33,Huépac,29.53846153846154,40.0,4.0
34,Imuris,42.462087421944695,23.550401427297057,16.41391614629795
35,Magdalena,39.70944309927361,21.307506053268767,16.585956416464892
36,Mazatán,24.242424242424242,39.39393939393939,4.797979797979798
37,Moctezuma,32.65060240963855,25.060240963855424,2.289156626506024
38,Naco,42.79792746113989,20.82901554404145,9.32642487046632
39,Nácori Chico,34.2,38.2,15.8
40,Nacozari de García,44.51219512195122,17.682926829268293,13.185975609756099
41,Navojoa,40.12663237039968,26.19707162643451,46.29996042738425
42,Nogales,39.93157380254154,13.269794721407624,7.722385141739981
43,Ónavas,33.94495412844037,44.03669724770643,42.201834862385326
44,Opodepe,30.943396226415093,35.72327044025157,29.937106918238992
45,Oquitoa,34.193548387096776,37.41935483870968,2.5806451612903225
46,Pitiquito,41.294005708848715,22.454804947668887,16.936251189343484
47,Puerto Peñasco,42.398286937901496,14.132762312633835,10.278372591006423
48,Quiriego,33.477321814254864,32.289416846652266,62.20302375809935
49,Rayón,27.881040892193308,40.89219330855018,9.479553903345725
50,Rosario,39.78234582829504,37.24304715840387,18.742442563482467
51,Sahuaripa,34.0683572216097,33.18632855567806,10.915104740904079
52,San Felipe de Jesús,38.70967741935484,39.516129032258064,4.838709677419355
53,San Javier,49.673202614379086,22.875816993464053,13.725490196078432
54,San Luis Río Colorado,38.224414303329226,19.810933004521168,5.343197698314837
55,San Miguel de Horcasitas,49.00260190806591,13.790112749349523,45.79358196010407
56,San Pedro de la Cueva,25.09157509157509,41.02564102564102,8.058608058608058
57,Santa Ana,40.15384615384615,25.92307692307692,1.0
58,Santa Cruz,45.11278195488722,21.804511278195488,7.142857142857142
59,Sáric,38.7459807073955,28.938906752411576,13.344051446945338
60,Soyopa,32.516703786191535,34.96659242761693,6.013363028953229
61,Suaqui Grande,31.60919540229885,38.50574712643678,0.8620689655172413
62,Tepache,26.14213197969543,42.89340101522843,10.406091370558377
63,Trincheras,35.517970401691336,31.07822410147992,1.0570824524312896
64,Tubutama,30.561330561330564,34.303534303534306,4.365904365904366
65,Ures,28.558476881233002,38.25929283771532,5.167724388032639
66,Villa Hidalgo,33.40080971659919,35.4251012145749,6.0728744939271255
67,Villa Pesqueira,21.680216802168022,41.46341463414634,1.6260162601626018
68,Yécora,39.97682502896872,26.998841251448436,29.89571263035921
69,General Plutarco Elías Calles,48.45542806707856,18.358340688437778,7.237422771403354
70,Benito Juárez,44.109947643979055,28.1413612565445,57.918848167539274
71,San Ignacio Río Muerto,42.435424354243544,22.361623616236162,35.71955719557195
