,Proporciones por Grupos,<12,>64,Indigena
0,Aconchi,0.38167938931297707,0.5089058524173028,0.1272264631043257
1,Agua Prieta,0.27277686852154936,0.05455537370430987,0.10911074740861974
2,Álamos,5.617977528089887,4.95703899537343,13.747521480502314
3,Altar,0.9285051067780872,0.0,0.18570102135561745
4,Arivechi,0.0,0.2570694087403599,0.2570694087403599
5,Arizpe,0.20898641588296762,0.8359456635318705,0.10449320794148381
6,Atil,0.5235602094240838,0.0,0.0
7,Bacadéhuachi,0.2890173410404624,0.0,0.0
8,Bacanora,0.796812749003984,1.1952191235059761,0.0
9,Bacerac,0.8108108108108109,0.8108108108108109,1.3513513513513513
10,Bacoachi,0.0,0.19960079840319359,0.0
11,Bácum,1.1888111888111887,0.27972027972027974,0.6993006993006993
12,Banámichi,0.0,0.1890359168241966,0.0
13,Baviácora,0.0,0.3872216844143272,0.0
14,Bavispe,0.516795865633075,0.2583979328165375,0.0
15,Benjamín Hill,0.6711409395973155,0.1342281879194631,0.0
16,Caborca,0.538971807628524,0.16583747927031509,0.33167495854063017
17,Cajeme,0.2120248371952143,0.07572315614114797,0.13630168105406634
18,Cananea,0.1579778830963665,0.0526592943654555,0.105318588730911
19,Carbó,0.48721071863580995,0.3654080389768575,0.12180267965895249
20,La Colorada,0.29895366218236175,0.8968609865470852,0.29895366218236175
21,Cucurpe,0.6369426751592357,0.3184713375796179,0.0
22,Cumpas,0.12135922330097086,0.48543689320388345,0.0
23,Divisaderos,0.0,0.0,0.0
24,Empalme,0.33444816053511706,0.16722408026755853,0.0
25,Etchojoa,1.5731515469323543,0.9963293130571578,4.299947561615102
26,Fronteras,0.5102040816326531,0.17006802721088435,0.0
27,Granados,0.0,0.0,0.0
28,Guaymas,0.6904487917146145,0.38358266206367475,1.1891062523973916
29,Hermosillo,0.1278568003835704,0.1278568003835704,0.1758031005274093
30,Huachinera,0.7731958762886598,0.25773195876288657,0.0
31,Huásabas,0.33557046979865773,0.33557046979865773,0.0
32,Huatabampo,0.6031882809133994,0.47393364928909953,1.809564842740198
33,Huépac,0.0,0.0,0.0
34,Imuris,0.2676181980374665,0.35682426404995543,0.17841213202497772
35,Magdalena,0.6053268765133172,0.24213075060532688,0.48426150121065376
36,Mazatán,0.0,1.5151515151515151,0.5050505050505051
37,Moctezuma,0.0,0.0,0.0
38,Naco,0.20725388601036268,0.20725388601036268,0.0
39,Nácori Chico,0.6,0.6,0.2
40,Nacozari de García,0.6097560975609756,0.0,0.07621951219512195
41,Navojoa,0.8310249307479225,0.4352987732489117,1.8994855559952513
42,Nogales,0.07329587099926704,0.024431956999755682,0.048863913999511364
43,Ónavas,0.0,0.0,0.0
44,Opodepe,1.1320754716981132,1.0062893081761006,1.0062893081761006
45,Oquitoa,0.0,0.0,0.0
46,Pitiquito,0.7611798287345386,0.570884871550904,0.3805899143672693
47,Puerto Peñasco,0.21413276231263384,0.07137758743754462,0.21413276231263384
48,Quiriego,6.479481641468683,3.5637149028077757,10.691144708423327
49,Rayón,0.5576208178438662,0.929368029739777,0.18587360594795538
50,Rosario,1.0882708585247884,2.176541717049577,0.8464328899637243
51,Sahuaripa,0.33076074972436603,0.5512679162072767,0.2205071664829107
52,San Felipe de Jesús,0.0,0.8064516129032258,0.0
53,San Javier,0.0,0.0,0.0
54,San Luis Río Colorado,0.4932182490752158,0.08220304151253596,0.08220304151253596
55,San Miguel de Horcasitas,0.6938421509106678,0.26019080659150046,0.5203816131830009
56,San Pedro de la Cueva,0.0,1.6483516483516485,0.9157509157509158
57,Santa Ana,0.23076923076923078,0.15384615384615385,0.0
58,Santa Cruz,0.18796992481203006,0.18796992481203006,0.0
59,Sáric,0.964630225080386,0.482315112540193,0.8038585209003215
60,Soyopa,1.1135857461024499,1.7817371937639197,0.6681514476614699
61,Suaqui Grande,0.0,0.8620689655172413,0.0
62,Tepache,0.0,0.5076142131979695,0.25380710659898476
63,Trincheras,0.42283298097251587,0.8456659619450317,0.0
64,Tubutama,1.0395010395010396,0.6237006237006237,0.4158004158004158
65,Ures,0.1813236627379873,0.6346328195829556,0.09066183136899365
66,Villa Hidalgo,0.4048582995951417,0.8097165991902834,0.20242914979757085
67,Villa Pesqueira,0.5420054200542005,1.8970189701897018,0.0
68,Yécora,1.0428736964078795,0.34762456546929316,1.0428736964078795
69,General Plutarco Elías Calles,0.44130626654898497,0.264783759929391,0.353045013239188
70,Benito Juárez,0.7853403141361256,0.2617801047120419,1.5052356020942408
71,San Ignacio Río Muerto,1.1808118081180812,0.7380073800738007,1.6236162361623614
