,Proporciones por Grupos,<12,>64,Indigena
0,Aconchi,21.62849872773537,24.80916030534351,4.8346055979643765
1,Agua Prieta,41.789416257501365,13.693398799781779,13.802509547190397
2,Álamos,22.33972240581626,13.48314606741573,15.928618638466624
3,Altar,40.20427112349118,16.80594243268338,10.492107706592387
4,Arivechi,21.59383033419023,21.336760925449873,19.28020565552699
5,Arizpe,25.60083594566353,28.84012539184953,0.8359456635318705
6,Atil,30.36649214659686,40.83769633507853,1.5706806282722512
7,Bacadéhuachi,27.45664739884393,38.4393063583815,3.7572254335260116
8,Bacanora,23.107569721115535,35.85657370517929,17.928286852589643
9,Bacerac,31.08108108108108,22.702702702702705,11.351351351351353
10,Bacoachi,25.948103792415168,27.944111776447105,1.5968063872255487
11,Bácum,37.48251748251748,28.601398601398603,20.62937062937063
12,Banámichi,35.72778827977316,33.0812854442344,0.3780718336483932
13,Baviácora,25.169409486931265,29.04162633107454,0.1936108422071636
14,Bavispe,29.71576227390181,29.457364341085274,4.1343669250646
15,Benjamín Hill,38.52348993288591,28.993288590604028,8.187919463087248
16,Caborca,38.39137645107794,15.547263681592039,10.737976782752902
17,Cajeme,37.60411933969408,21.353930031803724,11.646221414508556
18,Cananea,40.91627172195892,16.324381253291207,6.582411795681938
19,Carbó,39.707673568818514,21.315468940316688,7.3081607795371495
20,La Colorada,13.153961136023916,14.349775784753364,4.334828101644246
21,Cucurpe,22.29299363057325,17.197452229299362,0.0
22,Cumpas,35.43689320388349,31.43203883495146,0.9708737864077669
23,Divisaderos,34.45378151260504,39.49579831932773,1.680672268907563
24,Empalme,39.24191750278707,23.46711259754738,10.535117056856187
25,Etchojoa,44.572627163083375,27.79234399580493,86.36601992658626
26,Fronteras,42.517006802721085,19.727891156462583,7.568027210884354
27,Granados,31.176470588235293,34.705882352941174,1.4705882352941175
28,Guaymas,35.404679708477175,20.59838895281933,18.642117376294593
29,Hermosillo,42.80006392840019,18.938788556816366,16.28575994885728
30,Huachinera,33.24742268041237,30.927835051546392,16.237113402061855
31,Huásabas,27.85234899328859,37.58389261744966,19.798657718120804
32,Huatabampo,39.07798362774666,27.488151658767773,66.52305040930632
33,Huépac,29.53846153846154,40.0,4.0
34,Imuris,40.856378233719894,22.033898305084744,15.700267618198039
35,Magdalena,38.86198547215496,20.944309927360774,15.738498789346247
36,Mazatán,24.242424242424242,38.38383838383838,4.292929292929292
37,Moctezuma,32.53012048192771,24.337349397590362,2.1686746987951806
38,Naco,39.689119170984455,19.378238341968913,7.66839378238342
39,Nácori Chico,33.2,36.8,14.799999999999999
40,Nacozari de García,44.207317073170735,17.22560975609756,13.033536585365853
41,Navojoa,39.73090621290068,25.8804907004353,45.66679857538583
42,Nogales,35.728250244379275,11.730205278592376,6.989247311827956
43,Ónavas,33.94495412844037,41.284403669724774,39.44954128440367
44,Opodepe,29.056603773584904,32.32704402515723,27.42138364779874
45,Oquitoa,33.5483870967742,36.774193548387096,1.935483870967742
46,Pitiquito,39.10561370123692,20.837297811607993,12.844909609895339
47,Puerto Peñasco,42.11277658815132,13.63311920057102,10.20699500356888
48,Quiriego,27.753779697624193,26.13390928725702,51.18790496760259
49,Rayón,26.95167286245353,37.36059479553903,8.736059479553903
50,Rosario,30.471584038694076,27.81136638452237,12.4546553808948
51,Sahuaripa,26.240352811466373,27.56339581036384,9.70231532524807
52,San Felipe de Jesús,38.70967741935484,37.903225806451616,4.838709677419355
53,San Javier,22.22222222222222,13.725490196078432,7.8431372549019605
54,San Luis Río Colorado,37.6078914919852,19.112207151664613,5.30209617755857
55,San Miguel de Horcasitas,47.701647875108414,13.183000867302688,44.232437120555076
56,San Pedro de la Cueva,22.893772893772894,36.81318681318682,4.945054945054945
57,Santa Ana,39.46153846153846,25.076923076923073,1.0
58,Santa Cruz,27.631578947368425,13.909774436090224,4.511278195488721
59,Sáric,31.028938906752412,22.186495176848876,10.77170418006431
60,Soyopa,28.06236080178174,28.953229398663698,4.008908685968819
61,Suaqui Grande,29.022988505747126,35.63218390804598,0.5747126436781609
62,Tepache,25.380710659898476,41.370558375634516,10.406091370558377
63,Trincheras,32.55813953488372,29.59830866807611,1.0570824524312896
64,Tubutama,14.96881496881497,17.04781704781705,2.7027027027027026
65,Ures,25.11332728921124,31.18766999093382,3.9891205802357206
66,Villa Hidalgo,30.364372469635626,32.79352226720648,5.465587044534413
67,Villa Pesqueira,20.59620596205962,37.94037940379404,1.084010840108401
68,Yécora,33.14020857473928,20.857473928157592,22.711471610660485
69,General Plutarco Elías Calles,42.10061782877317,16.328331862312446,6.619593998234776
70,Benito Juárez,43.25916230366492,27.87958115183246,56.675392670157066
71,San Ignacio Río Muerto,35.2029520295203,17.859778597785976,30.184501845018453
